platform,developer,releasedate,metascore
XBOX,neo Software,12-Dec-01,89
DC,Sonic Team,18-Jun-01,89
PC,Papyrus,6-Feb-01,89
PS2,KCET,24-Sep-01,89
PS2,NuFX,18-Jun-01,89
DC,Sega AM2,23-Nov-01,88
PC,Dynamix,28-Mar-01,88
PS2,Volition Inc.,21-May-01,88
GBA,Nintendo,18-Nov-01,88
PC,Gray Matter,19-Nov-01,88
PS,EA Sports,13-Aug-01,88
PC,Mythic Entertainment,1-Sep-01,88
PC,BioWare,21-Jun-01,88
XBOX,EA Sports Big,10-Dec-01,88
PS2,Snowblind Studios,2-Dec-01,87
PC,Paradox Development Studio,12-Nov-01,87
PS,Shaba Games,29-Oct-01,87
DC,Bizarre Creations,15-Jan-01,87
PC,Blizzard North,27-Jun-01,87
XBOX,Team Ninja,14-Nov-01,87
PC,EA Sports,17-Sep-01,87
DC,Treasure,21-Mar-01,87
PC,TimeGate Studios,14-Mar-01,87
PC,Creative Assembly,13-Aug-01,87
PC,Croteam,21-Mar-01,87
GC,Amusement Vision,17-Nov-01,87
GC,EA Sports Big,2-Dec-01,87
PS2,Gearbox Software,11-Nov-01,87
PC,Pyro Studios,20-Sep-01,87
PC,Mucky Foot Productions,19-Jun-01,86
PS2,Capcom,13-Mar-01,86
DC,Amusement Vision,12-Mar-01,86
DC,SNK,23-Nov-01,86
PC,Westwood Studios,10-Oct-01,86
PC,Paradox Development Studio,2-Feb-01,86
GBA,Nd Cube,12-Jun-01,86
PC,Dreamworks Games,21-Feb-01,85
PC,Sir-Tech Software Inc.,14-Nov-01,85
PC,Monolith Productions,31-Oct-01,85
PC,Bohemia Interactive,30-Aug-01,85
PS2,Electronic Arts,23-Apr-01,85
PS,ProSoft,14-Apr-01,85
PC,PopTop Software,5-Apr-01,85
XBOX,Bizarre Creations,14-Nov-01,85
PS2,Visual Concepts,19-Nov-01,85
